Season,End_Date,Week,Sort_Order,Doses
2022-2023,10/8/22,40,11,115.81
2022-2023,10/15/22,41,12,128.43
2022-2023,10/22/22,42,13,136.95
2022-2023,10/29/22,43,14,145.77
2022-2023,11/5/22,44,15,150.17
2022-2023,11/12/22,45,16,152.24
2022-2023,11/19/22,46,17,154.1
2022-2023,11/26/22,47,18,154.97
2022-2023,12/3/22,48,19,156.42
2022-2023,12/10/22,49,20,157.61
2022-2023,12/17/22,50,21,169.75
2022-2023,12/24/22,51,22,170.37
2022-2023,12/31/22,52,23,170.71
2022-2023,1/7/23,1,24,171.19
2022-2023,1/14/23,2,25,171.52
2022-2023,1/21/23,3,26,171.8
2022-2023,1/28/23,4,27,171.97
2022-2023,2/4/23,5,28,172.76
2022-2023,2/11/23,6,29,173.02
2022-2023,2/18/23,7,30,173.16
2022-2023,2/25/23,8,31,173.26
2022-2023,3/4/23,9,32,173.37
2023-2024,7/29/23,30,1,4.65
2023-2024,8/5/23,31,2,12.17
2023-2024,8/12/23,32,3,19.21
2023-2024,8/19/23,33,4,30.38
2023-2024,8/26/23,34,5,42.93
2023-2024,9/2/23,35,6,54.54
2023-2024,9/9/23,36,7,68.65
2023-2024,9/16/23,37,8,83.59
2023-2024,9/23/23,38,9,100.51
2023-2024,9/30/23,39,10,116.29
2023-2024,10/7/23,40,11,128.35
2023-2024,10/14/23,41,12,136.94
2023-2024,10/21/23,42,13,142.16
2023-2024,10/28/23,43,14,145.42
2023-2024,11/4/23,44,15,147.47
2023-2024,11/11/23,45,16,148.95
2023-2024,11/18/23,46,17,150.63
2023-2024,11/25/23,47,18,151.3
2023-2024,12/2/23,48,19,152.42
2023-2024,12/9/23,49,20,153.62
2023-2024,12/16/23,50,21,154.38
2023-2024,12/23/23,51,22,155.2
2023-2024,12/31/23,52,23,155.36
2023-2024,1/6/24,1,24,156.26
2023-2024,1/13/24,2,25,156.26
2023-2024,1/20/24,3,26,156.42
2023-2024,1/27/24,4,27,156.76
2023-2024,2/3/24,5,28,156.96
2023-2024,2/10/24,6,29,157.19
2023-2024,2/17/24,7,30,157.35
2023-2024,2/24/24,8,31,157.52
2023-2024,3/2/24,9,32,157.62
